Code,DisplayName,Keywords,year,sport,manufacturer,product,setType,setLine,parallel,printRun,serial,subSetSize,packOdds
1994_95_upper_deck_sp_championship_basketball,1994-95 Upper Deck SP Championship Basketball,upper deck sp championship basketball playoff heroes die-cut,1994-95,Basketball,Upper Deck,SP Championship,Insert,Playoff Heroes,Die-Cut,,,,1:225
1994_95_upper_deck_sp_championship_basketball,1994-95 Upper Deck SP Championship Basketball,upper deck sp championship basketball playoff heroes,1994-95,Basketball,Upper Deck,SP Championship,Insert,Playoff Heroes,,,,,1:15
1994_95_topps_stadium_club_basketball,1994-95 Topps Stadium Club Basketball,topps stadium club basketball base first day issue,1994-95,Basketball,Topps,Stadium Club,Base,Base,First Day Issue,,,,1:24
1994_95_upper_deck_basketball,1994-95 Upper Deck Basketball,upper deck basketball special edition gold,1994-95,Basketball,Upper Deck,,Insert,Special Edition,Gold,,,,1:35
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball timeless memories,1998-99,Basketball,Fleer,Tradition,Insert,Timeless Memories,,,,10,1:12
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball great expectations,1998-99,Basketball,Fleer,Tradition,Insert,Great Expectations,,,,10,1:20
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball rookie rewind,1998-99,Basketball,Fleer,Tradition,Insert,Rookie Rewind,,,,10,1:36
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball electrifying,1998-99,Basketball,Fleer,Tradition,Insert,Electrifying,,,,10,1:72
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball lucky 13,1998-99,Basketball,Fleer,Tradition,Insert,Lucky 13,,,,13,1:96
1998_99_fleer_tradition_basketball,1998-99 Fleer Tradition Basketball,fleer tradition basketball vintage '61,1998-99,Basketball,Fleer,Tradition,Parallel,Vintage '61,,,,147,1:1
1993_topps_finest_baseball,1993 Topps Finest Baseball,topps finest baseball base refractor,1993,Baseball,Topps,Finest,Base,Base,Refractor,,,199,1:15
1994_bowmans_best_baseball,1994 Bowmans Best Baseball,bowmans best baseball base refractor,1994,Baseball,Bowmans,Best,Base,Base,Refractor,,,200,1:9
1994_topps_finest_baseball,1994 Topps Finest Baseball,topps finest baseball base refractor,1994,Baseball,Topps,Finest,Base,Base,Refractor,,,440,1:9
1995_topps_finest_baseball,1995 Topps Finest Baseball,topps finest baseball base refractor,1995,Baseball,Topps,Finest,Base,Base,Refractor,,,330,1:12
1994_topps_finest_football,1994 Topps Finest Football,topps finest football base refractor,1994,Football,Topps,Finest,Base,Base,Refractor,,,220,1:9
1994_bowmans_best_football,1995 Bowmans Best Football,bowmans best football base refractor,1995,Football,Bowmans,Best,Base,Base,Refractor,,,180,1:6
1995_topps_finest_football,1995 Topps Finest Football,topps finest football base refractor,1995,Football,Topps,Finest,Base,Base,Refractor,,,275,1:12
1995_topps_finest_football,1995 Topps Finest Football,topps finest football booster refractor,1995,Football,Topps,Finest,Insert,Booster,Refractor,,,275,1:12
